id,from,to,priority,type,shape,name,spreadType
-11389403#1,cluster_536402412_695689636_94964457,cluster_695674949_695674956,10,highway.tertiary,"[2158.36, 1009.68]",Dörpfeldstraße,
-11389571#0,257742687,6360669169,3,highway.residential,"[2134.07, 1039.64]",Ottomar-Geschke-Straße,
-11389571#2,101340856,681294528,3,highway.residential,"[2159.23, 1008.46]",Ottomar-Geschke-Straße,
-11391856#1,101373518,cluster_536402412_695689636_94964457,3,highway.residential,"[1994.63, 1386.85]",Waldstraße,
-11391856#3,cluster_203383768_5555354243,203389395,3,highway.residential,"[2002.62, 1391.7]",Waldstraße,
-11391856#5,101373519,cluster_203383768_5555354243,3,highway.residential,"[2032.03, 1409.58]",Waldstraße,
-11391888#1,675706816,675707977,3,highway.residential,"[2102.72, 1452.53]",Sanddornstraße,
-11391888#2,675705959,675706816,3,highway.residential,"[2192.09, 1507.05]",Sanddornstraße,
-11391917,364782826,101375410,3,highway.residential,"[2588.38, 3161.86]",Rudower Straße,
-114024899,1292264824,1298598000,1,highway.service,"[2200.81, 1124.88]",,
-114024901,1292264851,1292264836,1,highway.service,"[2133.91, 1205.21]",,
-114024904,1292264947,1292264935,1,highway.service,"[2038.66, 1027.54]",,
-114024905,1292283250,1292264941,1,highway.service,"[2025.13, 1019.65]",,
-114024906,1292283271,1292264938,1,highway.service,"[2021.8, 1016.77]",,
-114692703,1298547030,6454033913,1,highway.service,"[2402.86, 906.04]",,
-114693738#0,1298553913,5839442288,1,highway.service,"[2169.98, 1748.84]",,
-114697065#0,5839442292,1298553913,1,highway.service,"[1375.56, 2008.34]",,
-114949101#0,1292264836,1292264830,1,highway.service,"[1227.04, 1982.28]",,
-114952399#0,1293996771,294168972,1,highway.service,"[1252.26, 1964.0]",,
-114952399#1,1293996765,1293996771,1,highway.service,"[2309.59, 996.16]",,
-115227681,294168972,1371616230,1,highway.service,"[2363.1, 937.95]",,
-115227682#0,1371616230,1302814166,1,highway.service,"[2402.86, 906.04]",,
-115466410,1304505782,6913125201,1,highway.service,"[2388.28, 917.74]",,
-116391654,1312160363,cluster_1299913222_1560223542,1,highway.service,"[2265.13, 1044.53]",,
-117951616#0,6366040030,1652675141,10,highway.tertiary,"[2255.23, 1047.43]",Igo-Etrich-Straße,
-117951616#5,cluster_1652675133_252684013,6366040034,10,highway.tertiary,"[2243.7, 1041.54]",Igo-Etrich-Straße,
-121950231,cluster_1363845644_254313562,1363846058,1,highway.service,"[3158.47, 1966.48]",Hartriegelstraße,
-122666828,1370020147,1370020156,1,highway.service,"[3203.35, 1998.57]",,
-125399001#0,295850645,1570019888,1,highway.service,"[3186.99, 2069.28]",Am Studio,
-125399001#1,1560592622,295850645,1,highway.service,"[3169.72, 2123.22]",Am Studio,
-125399001#2,295850513,1560592622,1,highway.service,"[3217.09, 1797.98]",Am Studio,
-125399001#3,295850640,295850513,1,highway.service,"[1461.04, 1972.95]",Am Studio,
-125399002,295850640,1560223962,1,highway.service,"[1420.32, 1987.58]",Am Studio,
-133858189,837749843,cluster_1472997323_837749842,1,highway.service,"[3126.1, 2621.74]",,
-133858466,cluster_1472997323_837749842,1472997321,1,highway.service,"[3122.35, 2614.35]",,
-133858467#2,1472997325,1472997328,1,highway.service,"[3122.13, 2609.81]",,
-134100875,1474864422,1474864406,1,highway.service,"[3173.57, 2555.29]",,
-134100876,838456023,838456012,1,highway.service,"[3146.01, 2388.04]",,
-135777010#0,664166104,456893959,10,highway.tertiary,"[2791.42, 1606.09]",Hermann-Dorner-Allee,
-135777010#1,1560225335,664166104,10,highway.tertiary,"[2678.97, 1712.44]",Hermann-Dorner-Allee,
-135777010#2,664166107,1560225335,10,highway.tertiary,"[2711.09, 1682.37]",Hermann-Dorner-Allee,
-135777010#3,10222726382,664166107,10,highway.tertiary,"[2612.01, 1764.56]",Hermann-Dorner-Allee,
-135777010#4,311417477,10222726382,10,highway.tertiary,"[2598.21, 1774.96]",Hermann-Dorner-Allee,
-137309186,1597984760,1526800754,1,highway.service,"[1661.7, 1224.96]",Neltestraße,
-137309189,cluster_1506187399_9838637672,9838637670,1,highway.service,"[1651.57, 1214.62]",,
-137309191,1597984770,10185016047,1,highway.service,"[2902.87, 2731.52]",Neltestraße,
-137482783,1294964106,1294964098,1,highway.service,"[2918.78, 2687.07]",,
-137483014,1560223464,3621697960,3,highway.residential,"[2963.29, 2660.92]",Wilhelm-Ostwald-Straße,
-137483015#0,1294964098,7677100356,3,highway.residential,"[2960.98, 2652.68]",Wilhelm-Ostwald-Straße,
-137483015#1,3621697960,1294964098,3,highway.residential,"[2902.32, 2749.56]",Wilhelm-Ostwald-Straße,
-137534616,1625633844,150749047,3,highway.residential,"[1392.17, 2171.47]",Radickestraße,
-140964905#0,220495829,150764500,3,highway.residential,"[1433.41, 2106.41]",Altheider Straße,
-140964905#1,220488760,220495829,3,highway.residential,"[385.72, 1426.19]",Altheider Straße,
-140964905#2,150764366,220488760,3,highway.residential,"[484.83, 1304.49]",Altheider Straße,
-140964907#0,261655414,cluster_150756867_237252932,3,highway.residential,"[458.67, 1333.22]",Arndtstraße,
-140964907#2,150746772,261655336,3,highway.residential,"[452.39, 1327.5]",Arndtstraße,
-140964907#3,150746773,150746772,3,highway.residential,"[467.5, 1323.52]",Arndtstraße,
-140964908#0,150741857,150741302,3,highway.residential,"[460.92, 1317.89]",Bohrauer Pfad,
-140964908#1,1562864504,150741857,3,highway.residential,"[435.92, 1358.21]",Bohrauer Pfad,
-140964909#0,8993538625,150741857,3,highway.residential,"[428.4, 1351.38]",Bärdorfer Zeile,
-140964909#1,150741197,8993538625,3,highway.residential,"[480.8, 1555.5]",Bärdorfer Zeile,
-140964910#0,150745597,150745596,3,highway.residential,"[503.35, 1529.88]",Handjerystraße,
-140964910#1,7677172642,150745597,3,highway.residential,"[1610.41, 1202.66]",Handjerystraße,
-140964910#3,237253392,3154697054,3,highway.residential,"[1608.41, 1206.65]",Handjerystraße,
-140964924,cluster_237254713_3234767440,1625633841,3,highway.residential,"[3119.76, 2518.21]",Thomas-Müntzer-Straße,
-140964927#0,248077378,150743190,3,highway.residential,"[3119.1, 2516.9]",Wassermannstraße,
-140964927#1,220513823,248077378,3,highway.residential,"[3116.51, 2514.9]",Wassermannstraße,
-140964927#2,150740438,220513823,3,highway.residential,"[3101.42, 2522.86]",Wassermannstraße,
-140964927#3,220508530,150740438,3,highway.residential,"[3081.64, 2508.11]",Wassermannstraße,
-141145475#1,9841557670,1545109036,1,highway.service,"[2985.09, 2323.81]",Zur Holzoper,
-141145475#2,1545109036,9841557670,1,highway.service,"[306.82, 1021.82]",Zur Holzoper,
-142575655#0,cluster_2648427260_38919786,1560225398,4,highway.unclassified,"[258.5, 1076.53]",Abram-Joffe-Straße,
-142575655#2,2648427259,cluster_2648427260_38919786,4,highway.unclassified,"[323.95, 925.41]",Abram-Joffe-Straße,
-142575655#3,833046588,2648427259,4,highway.unclassified,"[317.82, 1007.63]",Abram-Joffe-Straße,
-142575655#5,664166211,833045584,4,highway.unclassified,"[340.14, 708.52]",Abram-Joffe-Straße,
-142575655#6,4004564033,664166211,4,highway.unclassified,"[497.28, 1931.29]",Abram-Joffe-Straße,
-142575655#7,cluster_664166124_664166125_664166127,4004564033,4,highway.unclassified,"[490.93, 1926.23]",Abram-Joffe-Straße,
-142575656#0,cluster_1560224280_499495781,1560224500,4,highway.unclassified,"[475.58, 1919.29]",Albert-Einstein-Straße,
-142575656#10,350553969,7871606710,4,highway.unclassified,"[445.23, 1893.07]",Albert-Einstein-Straße,
-142575656#2,1560224207,cluster_1560224280_499495781,4,highway.unclassified,"[451.56, 743.16]",Albert-Einstein-Straße,
-142575656#3,283719736,1560224207,4,highway.unclassified,"[448.13, 790.23]",Albert-Einstein-Straße,
-142575656#8,1560223884,1560223947,4,highway.unclassified,"[460.53, 626.04]",Albert-Einstein-Straße,
-142575657#0,cluster_7839390557_7839390573,1560224356,4,highway.unclassified,"[460.22, 629.96]",Barbara-McClintock-Straße,
-142575657#2,1560224493,cluster_7839390557_7839390573,4,highway.unclassified,"[455.17, 693.01]",Barbara-McClintock-Straße,
-142575657#4,1560224927,2247697355,4,highway.unclassified,"[2692.82, 2041.07]",Barbara-McClintock-Straße,
-142575657#5,6769431504,1560224927,4,highway.unclassified,"[2898.23, 2153.26]",Barbara-McClintock-Straße,
-142575657#6,1560225335,6769431504,4,highway.unclassified,"[2904.37, 2156.69]",Barbara-McClintock-Straße,
-142575658#0,1560223615,1560223591,4,highway.unclassified,"[2924.3, 2167.01]",Bendemannstraße,
-142575658#1,cluster_1560223635_1560223686_294169342,1560223615,4,highway.unclassified,"[2594.69, 1987.36]",Bendemannstraße,
-142575659#0,1472997321,1560224201,4,highway.unclassified,"[3158.06, 2677.67]",Carl-Scheele-Straße,
-142575661#0,38918306,1560224390,3,highway.residential,"[3137.66, 2641.92]",Ernst-Augustin-Straße,
-142575662#0,2881483067,1560225233,4,highway.unclassified,"[3210.15, 2777.12]",Ernst-Lau-Straße,
-142575662#1,1560224927,2881483067,4,highway.unclassified,"[3175.48, 2710.79]",Ernst-Lau-Straße,
-142575662#2,6769431506,1560224927,4,highway.unclassified,"[2589.39, 1996.62]",Ernst-Lau-Straße,
-142575662#3,1560224480,6769431506,4,highway.unclassified,"[2390.14, 2190.07]",Ernst-Lau-Straße,
-142575672#2,10244464034,cluster_1652675097_1652675099,4,highway.unclassified,"[997.81, 3001.3]",Franz-Ehrlich-Straße,
-142575673#0,607601623,1560223905,4,highway.unclassified,"[990.25, 2928.19]",Friedrich-Wöhler-Straße,
-142575673#1,1560223943,607601623,4,highway.unclassified,"[998.3, 3025.2]",Friedrich-Wöhler-Straße,
-142575674#0,1560224186,1560224022,4,highway.unclassified,"[504.51, 3106.37]",Gottfried-Leibniz-Straße,
-142575674#3,cluster_38920778_671564358,1560224186,4,highway.unclassified,"[472.19, 3209.71]",Gottfried-Leibniz-Straße,
-142575677#1,1652675108,6433996448,3,highway.residential,"[460.13, 3248.08]",Hans-Schmidt-Straße,
-142575677#2,345618782,1652675108,3,highway.residential,"[454.78, 3278.41]",Hans-Schmidt-Straße,
-142575679#0,cluster_1560224080_607684208,2010972812,4,highway.unclassified,"[455.11, 3295.07]",James-Franck-Straße,
-142575679#2,1560223905,cluster_1560224080_607684208,4,highway.unclassified,"[457.37, 3313.83]",James-Franck-Straße,
-142575679#3,1560223834,1560223905,4,highway.unclassified,"[459.44, 3323.35]",James-Franck-Straße,
-142575684#1,1560225233,cluster_9598462063_9598462066_9598462067,4,highway.unclassified,"[473.34, 3362.56]",Karl-Ziegler-Straße,
-142575684#2,10207318721,1560225233,4,highway.unclassified,"[864.15, 710.62]",Karl-Ziegler-Straße,
-142575684#7,664166107,10207308307,4,highway.unclassified,"[744.32, 492.01]",Karl-Ziegler-Straße,
-142575687#0,9662016351,cluster_1560225008_671564380,4,highway.unclassified,"[700.54, 497.68]",Katharina-Boll-Dornberger-Straße,
-142575687#1,cluster_2648427260_38919786,9662016351,4,highway.unclassified,"[692.13, 507.72]",Katharina-Boll-Dornberger-Straße,
-142575688#3,1560223979,2531797968,4,highway.unclassified,"[885.19, 721.01]",Kekuléstraße,
