id,from,to,priority,type,shape,name,spreadType
-137309191,1597984770,10185016047,1,highway.service,"1433.41,2106.41 1384.70,2155.00 1392.17,2171.47",Neltestraße,
-137482783,1294964106,1294964098,1,highway.service,"1793.10,510.44 1784.57,520.23 1782.70,522.37 1770.48,536.41 1757.94,550.81 1749.81,560.13",,
-137483014,1560223464,3621697960,3,highway.residential,"1634.46,460.27 1641.56,466.33 1709.19,524.93 1723.15,537.03 1725.18,538.79",Wilhelm-Ostwald-Straße,
-137483015#0,1294964098,7677100356,3,highway.residential,"1749.81,560.13 1751.29,561.28 1783.51,588.09",Wilhelm-Ostwald-Straße,
-137483015#1,3621697960,1294964098,3,highway.residential,"1725.18,538.79 1738.13,550.01 1746.27,557.07 1749.81,560.13",Wilhelm-Ostwald-Straße,
-137534616,1625633844,150749047,3,highway.residential,"2192.09,1507.05 2202.94,1514.16 2221.85,1525.35 2239.38,1535.59",Radickestraße,
-140964905#0,220495829,150764500,3,highway.residential,"1611.10,1598.56 1605.73,1595.29 1563.60,1569.60 1559.38,1567.03 1554.97,1564.35",Altheider Straße,
-140964905#1,220488760,220495829,3,highway.residential,"1671.53,1637.76 1665.00,1633.52 1614.25,1600.60 1611.10,1598.56",Altheider Straße,
-140964905#2,150764366,220488760,3,highway.residential,"1817.25,1728.15 1811.96,1724.87 1678.95,1642.47 1671.53,1637.76",Altheider Straße,
-140964907#0,261655414,cluster_150756867_237252932,3,highway.residential,"2264.47,1687.06 2233.21,1726.54 2205.14,1763.92 2203.63,1765.99 2202.35,1767.73",Arndtstraße,
-140964907#2,150746772,261655336,3,highway.residential,"2334.18,1594.29 2329.79,1600.22 2282.48,1664.13",Arndtstraße,
-140964907#3,150746773,150746772,3,highway.residential,"2460.89,1431.44 2337.67,1589.82 2334.18,1594.29",Arndtstraße,
-140964908#0,150741857,150741302,3,highway.residential,"2611.97,2607.94 2509.18,2647.72 2501.04,2650.69",Bohrauer Pfad,
-140964908#1,1562864504,150741857,3,highway.residential,"2765.70,2579.43 2694.35,2584.66 2658.39,2593.75 2611.97,2607.94",Bohrauer Pfad,
-140964909#0,8993538625,150741857,3,highway.residential,"2602.66,2565.40 2602.98,2575.53 2611.97,2607.94",Bärdorfer Zeile,
-140964909#1,150741197,8993538625,3,highway.residential,"2686.18,2205.66 2601.34,2522.60 2602.66,2565.40",Bärdorfer Zeile,
-140964910#0,150745597,150745596,3,highway.residential,"2430.81,1653.66 2434.60,1648.83 2502.48,1562.50 2572.09,1473.95",Handjerystraße,
-140964910#1,7677172642,150745597,3,highway.residential,"2401.69,1690.69 2426.60,1659.00 2430.81,1653.66",Handjerystraße,
-140964910#3,237253392,3154697054,3,highway.residential,"2297.62,1823.17 2299.42,1820.86 2324.66,1788.68",Handjerystraße,
-140964924,cluster_237254713_3234767440,1625633841,3,highway.residential,"1893.71,1594.35 1898.18,1587.70 1898.70,1586.93 2029.33,1413.17 2032.03,1409.58",Thomas-Müntzer-Straße,
-140964927#0,248077378,150743190,3,highway.residential,"2231.89,2091.26 2180.66,2156.30 2176.85,2161.15",Wassermannstraße,
-140964927#1,220513823,248077378,3,highway.residential,"2284.06,2022.12 2280.25,2027.17 2231.89,2091.26",Wassermannstraße,
-140964927#2,150740438,220513823,3,highway.residential,"2342.68,1946.76 2338.73,1951.85 2297.93,2004.29 2288.11,2016.92 2284.06,2022.12",Wassermannstraße,
-140964927#3,220508530,150740438,3,highway.residential,"2393.78,1877.33 2392.20,1879.48 2346.77,1941.19 2342.68,1946.76",Wassermannstraße,
-141145475#1,9841557670,1545109036,1,highway.service,"1822.13,2298.59 1856.54,2252.81 1856.16,2247.17 1793.89,2200.39 1788.14,2200.39 1773.67,2217.61",Zur Holzoper,
-141145475#2,1545109036,9841557670,1,highway.service,"1773.67,2217.61 1753.54,2246.10 1753.32,2250.68 1817.83,2299.47 1822.13,2298.59",Zur Holzoper,
-142575655#0,cluster_2648427260_38919786,1560225398,4,highway.unclassified,"904.54,1304.62 906.79,1306.69 940.34,1337.43 973.16,1367.59 980.90,1374.58",Abram-Joffe-Straße,
-142575655#2,2648427259,cluster_2648427260_38919786,4,highway.unclassified,"896.15,1296.85 901.15,1301.54",Abram-Joffe-Straße,
-142575655#3,833046588,2648427259,4,highway.unclassified,"846.55,1251.29 893.79,1294.67 896.15,1296.85",Abram-Joffe-Straße,
-142575655#5,664166211,833045584,4,highway.unclassified,"804.12,1212.77 808.62,1216.81 809.76,1217.85 827.33,1233.73",Abram-Joffe-Straße,
-142575655#6,4004564033,664166211,4,highway.unclassified,"717.73,1135.00 738.38,1153.14 742.38,1156.78 759.06,1171.95 797.30,1206.71 804.12,1212.77",Abram-Joffe-Straße,
-142575655#7,cluster_664166124_664166125_664166127,4004564033,4,highway.unclassified,"677.19,1099.73 681.81,1103.37 717.73,1135.00",Abram-Joffe-Straße,
-142575656#0,cluster_1560224280_499495781,1560224500,4,highway.unclassified,"1315.56,969.77 1366.93,1019.54 1408.17,1060.02 1409.25,1061.08 1414.40,1066.14",Albert-Einstein-Straße,
-142575656#10,350553969,7871606710,4,highway.unclassified,"1039.99,729.10 1046.70,734.64 1050.14,737.47",Albert-Einstein-Straße,
-142575656#2,1560224207,cluster_1560224280_499495781,4,highway.unclassified,"1252.71,908.64 1258.76,914.52 1295.66,950.34 1304.90,959.32 1311.13,965.37",Albert-Einstein-Straße,
-142575656#3,283719736,1560224207,4,highway.unclassified,"1202.27,867.22 1244.26,901.70 1252.71,908.64",Albert-Einstein-Straße,
-142575656#8,1560223884,1560223947,4,highway.unclassified,"1073.84,757.05 1106.59,784.94 1109.81,787.68",Albert-Einstein-Straße,
-142575657#0,cluster_7839390557_7839390573,1560224356,4,highway.unclassified,"504.71,1043.05 517.66,1028.77 523.56,1022.25",Barbara-McClintock-Straße,
-142575657#2,1560224493,cluster_7839390557_7839390573,4,highway.unclassified,"472.67,1078.36 501.96,1046.07",Barbara-McClintock-Straße,
-142575657#4,1560224927,2247697355,4,highway.unclassified,"377.28,1183.87 383.07,1177.03 437.09,1117.73 447.34,1106.26",Barbara-McClintock-Straße,
-142575657#5,6769431504,1560224927,4,highway.unclassified,"316.15,1251.13 371.24,1190.33 377.28,1183.87",Barbara-McClintock-Straße,
-142575657#6,1560225335,6769431504,4,highway.unclassified,"239.50,1335.75 246.38,1328.16 316.15,1251.13",Barbara-McClintock-Straße,
-142575658#0,1560223615,1560223591,4,highway.unclassified,"460.53,626.04 355.12,617.25 346.88,616.57",Bendemannstraße,
-142575658#1,cluster_1560223635_1560223686_294169342,1560223615,4,highway.unclassified,"642.41,639.27 630.49,638.46 591.34,635.77 460.53,626.04",Bendemannstraße,
-142575659#0,1472997321,1560224201,4,highway.unclassified,"619.73,893.02 653.24,909.60 664.89,912.26 674.69,912.19",Carl-Scheele-Straße,
-142575661#0,38918306,1560224390,3,highway.residential,"1497.63,1060.83 1477.36,1040.14 1466.18,1028.42 1465.25,1027.45 1459.29,1021.69",Ernst-Augustin-Straße,
-142575662#0,2881483067,1560225233,4,highway.unclassified,"475.10,1272.26 489.74,1285.50 496.70,1291.78",Ernst-Lau-Straße,
-142575662#1,1560224927,2881483067,4,highway.unclassified,"377.28,1183.87 383.36,1189.36 475.10,1272.26",Ernst-Lau-Straße,
-142575662#2,6769431506,1560224927,4,highway.unclassified,"335.69,1146.28 370.01,1177.29 377.28,1183.87",Ernst-Lau-Straße,
-142575662#3,1560224480,6769431506,4,highway.unclassified,"258.50,1076.53 264.57,1082.01 335.69,1146.28",Ernst-Lau-Straße,
